avg_total_compensation,avg_base_salary,avg_ot_paid,payroll_record_count,title
96665.80941860465,92226.49069767442,10463.770418604652,430,TRANSPORTATION SPECIALIST
96039.21189839572,113422.98395721926,337.0205614973262,1122,BUDGET ANALYST
95992.90524242424,98763.05151515151,422.7592424242424,330,EDUCATION OFFICER
95453.7693430657,109863.48175182482,2936.814160583942,137,ASSOCIATE EDUCATION ANALYST
95178.46097560975,106172.17987804877,1450.3079878048782,328,ASSOCIATE HOUSING DEVELOPMENT SPECIALIST
95166.52993006993,84015.0725874126,15810.783356643356,143,PROGRAM SPECIALIST CORRECTION
95161.88449541284,108490.73394495413,0.0,109,LEGISLATIVE COUNSEL
95087.86234375,97152.72265625,4309.1600390625,256,CITY ASSESSOR
94720.04756476684,89622.04404145078,13208.176450777202,386,SENIOR RACKETS INVESTIGATOR - START >4-24-08 NO ABC
94364.28830164744,100573.80511091452,0.0,59911,TEACHER SPECIAL EDUCATION
94151.0043119266,78741.1376146789,20763.52256880734,109,ASSISTANT SUPERINTENDENT OF WELFARE SHELTERS
94115.99398238747,87086.42270058708,6805.147015655577,1022,PARK SUPERVISOR
93804.88922413794,79863.79310344828,15929.35573275862,232,SUPERVISOR OF SCHOOL SECURITY
93575.37107526882,93370.7311827957,368.39623655913977,186,PUBLIC HEALTH NURSE
93538.09524838014,75150.29157667387,13278.488531317496,463,ASSOCIATE FIRE PROTECTION INSPECTOR
92977.09960591132,90244.01477832512,4712.663103448276,203,CHILD WELFARE SPECIALIST SUPERVISOR
92667.65098765431,97639.24691358025,6057.487530864198,405,CHILD AND FAMILY SPECIALIST
92480.48633540372,96094.78527062999,4450.09811002662,1127,CONSTRUCTION PROJECT MANAGER
92425.15994962216,76579.49118387909,16886.700705289673,397,SUPERVISING POLICE COMMUNICATIONS TECHNICIAN
92392.31868613139,112394.78832116789,132.21167883211677,137,ARCHITECT
92335.72181964574,101116.17020933978,2422.45653784219,621,ADMINISTRATIVE PROCUREMENT ANALYST-NON-MGRL
92150.42912328769,83654.52073972602,10825.378493150685,365,ASSOCIATE INSPECTOR
91431.09705756277,105224.48811083895,629.8938211879976,3266,CITY RESEARCH SCIENTIST
91362.55294520548,87234.07077625571,2640.1399086757992,438,ASSOCIATE PUBLIC HEALTH SANITARIAN
91253.93339882122,82702.16895874264,10112.211296660118,509,ASSOCIATE FRAUD INVESTIGATOR
90929.03612903226,94485.48387096774,9996.927096774194,124,SUPERVISOR OF MECHANICAL INSTALLATIONS & MAINTENANCE
90650.4759025788,89161.7793696275,7032.8644126074505,349,TELECOMMUNICATIONS ASSOCIATE
90075.09909307877,83794.24582338902,6467.275942720764,419,SUPERVISING PROBATION OFFICER
90067.17905797102,84160.89130434782,9774.73152173913,276,ASSOCIATE CHEMIST
